provider_id,provider_type,region,network_status,prior_auth_volume_band,avg_incomplete_submission_rate,avg_response_time_days,provider_risk_segment
PRV-0001,DME Supplier,Southwest,In-Network,Medium (50-199/yr),0.25,9.19,Moderate-Risk
PRV-0002,Primary Care,Midwest,In-Network,Medium (50-199/yr),0.267,4.9,Moderate-Risk
PRV-0003,Surgery Center,Northeast,In-Network,Medium (50-199/yr),0.157,4.73,Moderate-Risk
PRV-0004,Imaging Center,Southeast,Out-of-Network,Medium (50-199/yr),0.083,8.12,Low-Risk
PRV-0005,Imaging Center,Southwest,In-Network,Low (1-49/yr),0.192,8.45,Moderate-Risk
PRV-0006,Hospital,Southeast,Out-of-Network,Very High (500+/yr),0.154,2.19,Moderate-Risk
PRV-0007,Behavioral Health,Southeast,In-Network,Very High (500+/yr),0.155,3.3,Moderate-Risk
PRV-0008,Primary Care,Southeast,In-Network,Medium (50-199/yr),0.227,5.85,Moderate-Risk
PRV-0009,Hospital,West,In-Network,Very High (500+/yr),0.108,6.97,Low-Risk
PRV-0010,Primary Care,Southeast,In-Network,High (200-499/yr),0.298,7.71,Moderate-Risk
PRV-0011,Imaging Center,Southeast,In-Network,High (200-499/yr),0.216,6.99,Moderate-Risk
PRV-0012,Specialist,West,In-Network,High (200-499/yr),0.17,9.7,Moderate-Risk
PRV-0013,Imaging Center,Southwest,In-Network,Low (1-49/yr),0.208,6.76,Moderate-Risk
PRV-0014,Home Health Agency,Southeast,In-Network,High (200-499/yr),0.186,6.15,Moderate-Risk
PRV-0015,Hospital,Southeast,In-Network,Very High (500+/yr),0.051,7.61,Low-Risk
PRV-0016,Specialist,Midwest,In-Network,High (200-499/yr),0.191,2.66,Moderate-Risk
PRV-0017,Surgery Center,West,In-Network,Medium (50-199/yr),0.209,7.6,Moderate-Risk
PRV-0018,Primary Care,Southeast,Out-of-Network,High (200-499/yr),0.223,8.53,Moderate-Risk
PRV-0019,Specialist,Southeast,In-Network,Very High (500+/yr),0.119,0.96,Low-Risk
PRV-0020,Primary Care,Midwest,In-Network,Medium (50-199/yr),0.273,8.88,Moderate-Risk
PRV-0021,Surgery Center,Southeast,In-Network,Medium (50-199/yr),0.204,9.46,Moderate-Risk
PRV-0022,DME Supplier,Northeast,In-Network,Medium (50-199/yr),0.328,2.95,High-Risk
PRV-0023,Specialist,Southeast,In-Network,Medium (50-199/yr),0.204,9.02,Moderate-Risk
PRV-0024,Specialist,Midwest,In-Network,Medium (50-199/yr),0.101,9.81,Low-Risk
PRV-0025,DME Supplier,Southeast,In-Network,Medium (50-199/yr),0.436,4.89,High-Risk
PRV-0026,Post-Acute Facility,Southeast,In-Network,Very High (500+/yr),0.239,9.65,Moderate-Risk
PRV-0027,Imaging Center,Southwest,In-Network,Very High (500+/yr),0.161,6.58,Moderate-Risk
PRV-0028,Post-Acute Facility,Southwest,In-Network,Medium (50-199/yr),0.171,9.94,Moderate-Risk
PRV-0029,Specialist,Midwest,In-Network,Very High (500+/yr),0.17,6.01,Moderate-Risk
PRV-0030,Post-Acute Facility,Southeast,In-Network,High (200-499/yr),0.158,7.25,Moderate-Risk
PRV-0031,Imaging Center,Midwest,In-Network,Very High (500+/yr),0.088,4.58,Low-Risk
PRV-0032,Imaging Center,Southeast,In-Network,High (200-499/yr),0.124,3.63,Low-Risk
PRV-0033,Surgery Center,Southeast,In-Network,Medium (50-199/yr),0.192,8.33,Moderate-Risk
PRV-0034,Behavioral Health,West,In-Network,Medium (50-199/yr),0.228,9.96,Moderate-Risk
PRV-0035,Surgery Center,Southeast,Out-of-Network,High (200-499/yr),0.094,1.39,Low-Risk
PRV-0036,Post-Acute Facility,Midwest,In-Network,Medium (50-199/yr),0.235,0.52,Moderate-Risk
PRV-0037,Imaging Center,Northeast,In-Network,High (200-499/yr),0.111,7.26,Low-Risk
PRV-0038,Hospital,Southeast,In-Network,Very High (500+/yr),0.052,3.73,Low-Risk
PRV-0039,Home Health Agency,Midwest,In-Network,High (200-499/yr),0.217,7.77,Moderate-Risk
PRV-0040,Home Health Agency,Southeast,In-Network,High (200-499/yr),0.336,4.86,High-Risk
PRV-0041,Hospital,Northeast,In-Network,High (200-499/yr),0.137,1.98,Low-Risk
PRV-0042,Imaging Center,Northeast,In-Network,Medium (50-199/yr),0.088,5.13,Low-Risk
PRV-0043,Hospital,Northeast,In-Network,High (200-499/yr),0.153,3.89,Moderate-Risk
PRV-0044,Hospital,Northeast,Out-of-Network,Very High (500+/yr),0.14,0.85,Low-Risk
PRV-0045,Hospital,Southeast,In-Network,Medium (50-199/yr),0.111,9.4,Low-Risk
PRV-0046,Primary Care,West,In-Network,High (200-499/yr),0.221,2.02,Moderate-Risk
PRV-0047,Imaging Center,Northeast,In-Network,High (200-499/yr),0.115,5.04,Low-Risk
PRV-0048,Primary Care,Southeast,In-Network,High (200-499/yr),0.261,4.35,Moderate-Risk
PRV-0049,Post-Acute Facility,West,In-Network,Medium (50-199/yr),0.15,6.73,Low-Risk
PRV-0050,Surgery Center,Southeast,In-Network,Medium (50-199/yr),0.131,2.86,Low-Risk
PRV-0051,Specialist,West,In-Network,Medium (50-199/yr),0.146,3.66,Low-Risk
PRV-0052,Specialist,Southeast,In-Network,High (200-499/yr),0.173,5.13,Moderate-Risk
PRV-0053,Imaging Center,West,In-Network,Medium (50-199/yr),0.192,1.8,Moderate-Risk
PRV-0054,Hospital,Midwest,In-Network,Very High (500+/yr),0.178,8.32,Moderate-Risk
PRV-0055,Specialist,West,In-Network,High (200-499/yr),0.194,4.08,Moderate-Risk
PRV-0056,Surgery Center,West,Out-of-Network,Medium (50-199/yr),0.195,5.85,Moderate-Risk
PRV-0057,Specialist,Midwest,In-Network,Medium (50-199/yr),0.223,3.7,Moderate-Risk
PRV-0058,Specialist,Northeast,In-Network,High (200-499/yr),0.119,9.2,Low-Risk
PRV-0059,Specialist,Midwest,In-Network,Very High (500+/yr),0.23,1.03,Moderate-Risk
PRV-0060,Imaging Center,Northeast,In-Network,Medium (50-199/yr),0.109,5.02,Low-Risk
PRV-0061,Specialist,Northeast,In-Network,Medium (50-199/yr),0.121,7.02,Low-Risk
PRV-0062,Primary Care,Midwest,In-Network,High (200-499/yr),0.267,7.54,Moderate-Risk
PRV-0063,Specialist,Midwest,In-Network,High (200-499/yr),0.266,8.58,Moderate-Risk
PRV-0064,Specialist,West,In-Network,Medium (50-199/yr),0.186,1.03,Moderate-Risk
PRV-0065,Imaging Center,Midwest,In-Network,High (200-499/yr),0.204,3.16,Moderate-Risk
PRV-0066,Imaging Center,Midwest,In-Network,Medium (50-199/yr),0.088,5.64,Low-Risk
PRV-0067,DME Supplier,West,In-Network,High (200-499/yr),0.397,2.34,High-Risk
PRV-0068,Specialist,Southwest,In-Network,Very High (500+/yr),0.219,1.25,Moderate-Risk
PRV-0069,Behavioral Health,Northeast,In-Network,Medium (50-199/yr),0.187,4.45,Moderate-Risk
PRV-0070,Hospital,Southwest,In-Network,High (200-499/yr),0.115,4.38,Low-Risk
PRV-0071,DME Supplier,Northeast,In-Network,Medium (50-199/yr),0.304,8.39,High-Risk
PRV-0072,Hospital,West,Out-of-Network,Very High (500+/yr),0.07,2.18,Low-Risk
PRV-0073,Imaging Center,Southeast,In-Network,High (200-499/yr),0.143,9.11,Low-Risk
PRV-0074,Hospital,Midwest,In-Network,Very High (500+/yr),0.107,3.52,Low-Risk
PRV-0075,Imaging Center,Southeast,In-Network,Low (1-49/yr),0.189,6.34,Moderate-Risk
PRV-0076,Imaging Center,Midwest,In-Network,Very High (500+/yr),0.144,5.46,Low-Risk
PRV-0077,Primary Care,Northeast,In-Network,High (200-499/yr),0.145,7.34,Low-Risk
PRV-0078,Surgery Center,Southeast,In-Network,Medium (50-199/yr),0.186,2.36,Moderate-Risk
PRV-0079,Imaging Center,Northeast,In-Network,Very High (500+/yr),0.17,7.31,Moderate-Risk
PRV-0080,Imaging Center,Midwest,Out-of-Network,Medium (50-199/yr),0.081,4.31,Low-Risk
PRV-0081,Hospital,West,In-Network,Very High (500+/yr),0.111,1.87,Low-Risk
PRV-0082,Imaging Center,Northeast,In-Network,Medium (50-199/yr),0.107,2.99,Low-Risk
PRV-0083,Imaging Center,Midwest,In-Network,Very High (500+/yr),0.131,8.47,Low-Risk
PRV-0084,Primary Care,West,In-Network,High (200-499/yr),0.135,2.99,Low-Risk
PRV-0085,Specialist,Northeast,In-Network,Very High (500+/yr),0.179,5.39,Moderate-Risk
PRV-0086,Primary Care,Northeast,In-Network,High (200-499/yr),0.192,5.06,Moderate-Risk
PRV-0087,Surgery Center,West,In-Network,Medium (50-199/yr),0.181,2.65,Moderate-Risk
PRV-0088,Hospital,Southeast,In-Network,High (200-499/yr),0.121,7.14,Low-Risk
PRV-0089,Surgery Center,Northeast,Out-of-Network,Medium (50-199/yr),0.121,1.37,Low-Risk
PRV-0090,Post-Acute Facility,Midwest,In-Network,Low (1-49/yr),0.223,1.51,Moderate-Risk
PRV-0091,Imaging Center,Northeast,In-Network,High (200-499/yr),0.131,3.81,Low-Risk
PRV-0092,Hospital,West,In-Network,Very High (500+/yr),0.112,6.99,Low-Risk
PRV-0093,Specialist,Northeast,Out-of-Network,Very High (500+/yr),0.115,4.97,Low-Risk
PRV-0094,Post-Acute Facility,Midwest,In-Network,High (200-499/yr),0.262,6.71,Moderate-Risk
PRV-0095,DME Supplier,Midwest,In-Network,Low (1-49/yr),0.283,8.74,Moderate-Risk
PRV-0096,Behavioral Health,Southwest,In-Network,Medium (50-199/yr),0.24,4.14,Moderate-Risk
PRV-0097,Surgery Center,Midwest,In-Network,High (200-499/yr),0.166,3.17,Moderate-Risk
PRV-0098,Hospital,Southeast,In-Network,Very High (500+/yr),0.065,9.44,Low-Risk
PRV-0099,Primary Care,West,In-Network,Low (1-49/yr),0.273,4.86,Moderate-Risk
PRV-0100,Primary Care,Southeast,In-Network,Medium (50-199/yr),0.23,7.64,Moderate-Risk
PRV-0101,Primary Care,Southeast,In-Network,High (200-499/yr),0.259,7.56,Moderate-Risk
PRV-0102,Post-Acute Facility,Midwest,In-Network,Low (1-49/yr),0.258,7.78,Moderate-Risk
PRV-0103,Primary Care,Northeast,In-Network,High (200-499/yr),0.202,3.33,Moderate-Risk
PRV-0104,Primary Care,Southeast,In-Network,Low (1-49/yr),0.213,5.4,Moderate-Risk
PRV-0105,Specialist,Southeast,In-Network,Medium (50-199/yr),0.248,0.93,Moderate-Risk
PRV-0106,Hospital,Midwest,In-Network,High (200-499/yr),0.083,4.65,Low-Risk
PRV-0107,Specialist,Northeast,In-Network,Medium (50-199/yr),0.167,6.12,Moderate-Risk
PRV-0108,Specialist,Northeast,In-Network,High (200-499/yr),0.121,4.03,Low-Risk
PRV-0109,Surgery Center,Southeast,In-Network,High (200-499/yr),0.09,5.36,Low-Risk
PRV-0110,Imaging Center,Southeast,In-Network,Medium (50-199/yr),0.219,2.81,Moderate-Risk
PRV-0111,DME Supplier,Southeast,In-Network,Medium (50-199/yr),0.303,4.81,High-Risk
PRV-0112,Surgery Center,West,In-Network,High (200-499/yr),0.171,7.71,Moderate-Risk
PRV-0113,DME Supplier,Southeast,In-Network,High (200-499/yr),0.237,9.69,Moderate-Risk
PRV-0114,Imaging Center,West,In-Network,Low (1-49/yr),0.211,8.35,Moderate-Risk
PRV-0115,DME Supplier,Southeast,In-Network,High (200-499/yr),0.329,8.71,High-Risk
PRV-0116,Surgery Center,Southwest,In-Network,Medium (50-199/yr),0.1,9.73,Low-Risk
PRV-0117,Hospital,Southeast,In-Network,High (200-499/yr),0.145,2.16,Low-Risk
PRV-0118,Specialist,Midwest,Out-of-Network,Medium (50-199/yr),0.182,6.98,Moderate-Risk
PRV-0119,Behavioral Health,Southeast,In-Network,Low (1-49/yr),0.261,5.24,Moderate-Risk
PRV-0120,Imaging Center,Northeast,In-Network,Medium (50-199/yr),0.193,2.22,Moderate-Risk
PRV-0121,Hospital,West,In-Network,High (200-499/yr),0.173,6.38,Moderate-Risk
PRV-0122,Imaging Center,Southeast,In-Network,High (200-499/yr),0.156,3.63,Moderate-Risk
PRV-0123,Hospital,Northeast,In-Network,High (200-499/yr),0.109,1.6,Low-Risk
PRV-0124,Surgery Center,Midwest,In-Network,High (200-499/yr),0.219,2.52,Moderate-Risk
PRV-0125,Behavioral Health,West,In-Network,High (200-499/yr),0.267,7.11,Moderate-Risk
PRV-0126,Hospital,Midwest,In-Network,Very High (500+/yr),0.179,9.01,Moderate-Risk
PRV-0127,Imaging Center,Southeast,Out-of-Network,Medium (50-199/yr),0.084,3.22,Low-Risk
PRV-0128,Hospital,West,In-Network,High (200-499/yr),0.129,1.63,Low-Risk
PRV-0129,DME Supplier,West,In-Network,Medium (50-199/yr),0.445,1.76,High-Risk
PRV-0130,Post-Acute Facility,West,In-Network,Medium (50-199/yr),0.276,6.74,Moderate-Risk
PRV-0131,Hospital,Southeast,In-Network,Medium (50-199/yr),0.083,4.1,Low-Risk
PRV-0132,Specialist,Southeast,In-Network,High (200-499/yr),0.123,2.53,Low-Risk
PRV-0133,Hospital,West,In-Network,Very High (500+/yr),0.138,9.13,Low-Risk
PRV-0134,Specialist,Southeast,In-Network,High (200-499/yr),0.174,8.81,Moderate-Risk
PRV-0135,Hospital,Northeast,In-Network,Very High (500+/yr),0.162,2.49,Moderate-Risk
PRV-0136,Surgery Center,Midwest,In-Network,Very High (500+/yr),0.149,7.7,Low-Risk
PRV-0137,Specialist,Midwest,In-Network,Low (1-49/yr),0.171,6.41,Moderate-Risk
PRV-0138,Imaging Center,Southeast,In-Network,Medium (50-199/yr),0.152,8.42,Moderate-Risk
PRV-0139,Specialist,West,In-Network,Medium (50-199/yr),0.267,2.17,Moderate-Risk
PRV-0140,Specialist,Midwest,In-Network,Very High (500+/yr),0.269,4.61,Moderate-Risk
PRV-0141,Specialist,Midwest,In-Network,Very High (500+/yr),0.267,9.26,Moderate-Risk
PRV-0142,Surgery Center,Midwest,In-Network,Medium (50-199/yr),0.187,7.08,Moderate-Risk
PRV-0143,Imaging Center,Southeast,In-Network,Very High (500+/yr),0.12,1.25,Low-Risk
PRV-0144,Specialist,Midwest,In-Network,Very High (500+/yr),0.221,4.87,Moderate-Risk
PRV-0145,Primary Care,Southwest,Out-of-Network,Medium (50-199/yr),0.256,2.48,Moderate-Risk
PRV-0146,Hospital,Southeast,In-Network,High (200-499/yr),0.1,9.33,Low-Risk
PRV-0147,Primary Care,West,In-Network,Low (1-49/yr),0.218,7.89,Moderate-Risk
PRV-0148,Specialist,Southeast,In-Network,High (200-499/yr),0.126,2.81,Low-Risk
PRV-0149,Specialist,Midwest,In-Network,High (200-499/yr),0.279,4.66,Moderate-Risk
PRV-0150,Specialist,Midwest,In-Network,High (200-499/yr),0.234,2.61,Moderate-Risk
PRV-0151,Surgery Center,Southwest,Out-of-Network,Very High (500+/yr),0.129,7.19,Low-Risk
PRV-0152,Imaging Center,Northeast,In-Network,High (200-499/yr),0.128,8.66,Low-Risk
PRV-0153,DME Supplier,Southwest,In-Network,Medium (50-199/yr),0.313,3.64,High-Risk
PRV-0154,Hospital,Southeast,Out-of-Network,Very High (500+/yr),0.096,7.87,Low-Risk
PRV-0155,Specialist,Northeast,In-Network,Very High (500+/yr),0.214,9.28,Moderate-Risk
PRV-0156,Hospital,Northeast,In-Network,High (200-499/yr),0.169,7.75,Moderate-Risk
PRV-0157,Home Health Agency,West,In-Network,Medium (50-199/yr),0.216,7.4,Moderate-Risk
PRV-0158,Surgery Center,Southeast,Out-of-Network,High (200-499/yr),0.111,4.85,Low-Risk
PRV-0159,Specialist,West,In-Network,High (200-499/yr),0.119,9.57,Low-Risk
PRV-0160,Hospital,West,In-Network,Very High (500+/yr),0.126,6.63,Low-Risk
PRV-0161,Specialist,West,In-Network,High (200-499/yr),0.17,0.6,Moderate-Risk
PRV-0162,Home Health Agency,West,In-Network,High (200-499/yr),0.206,4.6,Moderate-Risk
PRV-0163,Primary Care,Midwest,In-Network,High (200-499/yr),0.157,7.05,Moderate-Risk
PRV-0164,Hospital,Southeast,In-Network,High (200-499/yr),0.128,0.78,Low-Risk
PRV-0165,Surgery Center,Midwest,In-Network,Medium (50-199/yr),0.139,3.47,Low-Risk
PRV-0166,DME Supplier,Northeast,In-Network,Medium (50-199/yr),0.369,5.14,High-Risk
PRV-0167,Specialist,Northeast,In-Network,Medium (50-199/yr),0.2,7.32,Moderate-Risk
PRV-0168,Specialist,Northeast,In-Network,High (200-499/yr),0.272,7.35,Moderate-Risk
PRV-0169,Imaging Center,Northeast,In-Network,High (200-499/yr),0.093,3.88,Low-Risk
PRV-0170,Imaging Center,Midwest,Out-of-Network,Very High (500+/yr),0.087,0.86,Low-Risk
PRV-0171,Surgery Center,Southeast,In-Network,High (200-499/yr),0.213,8.46,Moderate-Risk
PRV-0172,Specialist,Midwest,In-Network,Low (1-49/yr),0.173,2.07,Moderate-Risk
PRV-0173,Primary Care,Southeast,In-Network,Medium (50-199/yr),0.133,6.77,Low-Risk
PRV-0174,Hospital,West,In-Network,Very High (500+/yr),0.141,5.2,Low-Risk
PRV-0175,Imaging Center,Southeast,Out-of-Network,Medium (50-199/yr),0.166,3.58,Moderate-Risk
PRV-0176,Surgery Center,Midwest,In-Network,High (200-499/yr),0.176,4.71,Moderate-Risk
PRV-0177,Hospital,West,Out-of-Network,Very High (500+/yr),0.097,5.81,Low-Risk
PRV-0178,Surgery Center,Northeast,In-Network,High (200-499/yr),0.212,9.02,Moderate-Risk
PRV-0179,Specialist,West,In-Network,Very High (500+/yr),0.268,6.63,Moderate-Risk
PRV-0180,Imaging Center,Midwest,In-Network,Low (1-49/yr),0.188,1.14,Moderate-Risk
PRV-0181,Surgery Center,West,In-Network,Medium (50-199/yr),0.106,7.25,Low-Risk
PRV-0182,Hospital,West,In-Network,High (200-499/yr),0.058,5.0,Low-Risk
PRV-0183,Hospital,Southeast,In-Network,High (200-499/yr),0.131,7.86,Low-Risk
PRV-0184,Specialist,Midwest,In-Network,Medium (50-199/yr),0.271,2.8,Moderate-Risk
PRV-0185,Primary Care,West,In-Network,Medium (50-199/yr),0.136,3.21,Low-Risk
PRV-0186,Primary Care,Southwest,In-Network,Medium (50-199/yr),0.151,6.62,Moderate-Risk
PRV-0187,Primary Care,Northeast,In-Network,Medium (50-199/yr),0.124,8.32,Low-Risk
PRV-0188,Post-Acute Facility,Northeast,In-Network,Very High (500+/yr),0.185,3.51,Moderate-Risk
PRV-0189,Imaging Center,West,In-Network,Medium (50-199/yr),0.179,2.9,Moderate-Risk
PRV-0190,Specialist,Northeast,In-Network,Medium (50-199/yr),0.264,0.58,Moderate-Risk
